,Unnamed: 0,Unnamed: 0.1,ID_cliente1,ID_cliente2,Numero_de_llamados,genero_cliente1,edad_cliente1
0,0,0,230899392,1463048,27,MASCULINO,76
1,1,1,83020691,93785645,1,MASCULINO,66
2,2,2,73082118,118411530,0,MASCULINO,44
3,3,3,70794435,128905189,1,MASCULINO,73
4,4,4,23899067,276463837,5,FEMENINO,74
5,5,5,91420673,32224407,9,MASCULINO,24
6,6,6,41239602,186294998,21,MASCULINO,47
7,7,7,31162202,85452206,2,MASCULINO,22
8,8,8,84416815,5447057,3,MASCULINO,39
9,9,9,101425084,3482180,1,MASCULINO,30
10,10,10,21909101,66743811,7,FEMENINO,43
11,11,11,158456831,20086449,3,FEMENINO,44
12,12,12,2563380,15384924,7,FEMENINO,23
13,13,13,19911207,193072369,14,MASCULINO,39
14,14,14,201114637,207692251,0,MASCULINO,61
15,15,15,36722681,2164687,4,FEMENINO,67
16,16,16,62309645,128731171,2,MASCULINO,78
17,17,17,37750152,205592600,1,MASCULINO,45
18,18,18,4590224,155510872,4,MASCULINO,47
19,19,19,420253,16564595,6,FEMENINO,65
20,20,20,45664100,174941996,0,FEMENINO,67
21,21,21,236810180,164515308,1,MASCULINO,57
22,22,22,677872,262960,3,MASCULINO,67
23,23,23,25410844,180783964,3,MASCULINO,27
24,24,24,16580773,1214931,46,MASCULINO,20
25,25,25,73875729,1147543,1,MASCULINO,61
26,26,26,142458775,92384201,2,MASCULINO,67
27,27,27,149224349,145195,1,FEMENINO,46
28,28,28,234088800,68035080,4,MASCULINO,72
29,29,29,195945645,266259371,26,MASCULINO,30
30,30,30,14438943,2249297,1,MASCULINO,22
31,31,31,183987330,82814302,10,FEMENINO,35
32,32,32,3735027,276914733,0,MASCULINO,76
33,33,33,165006357,277065347,0,MASCULINO,63
34,34,34,184988649,19535423,1,MASCULINO,29
35,35,35,268700879,93408041,0,MASCULINO,66
36,36,36,65313298,5991142,5,MASCULINO,79
37,37,37,795085,261240003,12,FEMENINO,66
38,38,38,20902176,130393136,2,MASCULINO,24
39,39,39,1224581,234148747,0,MASCULINO,67
40,40,40,49475655,846313,1,FEMENINO,59
41,41,41,181504370,38809150,1,FEMENINO,59
42,42,42,95087352,1597800,5,MASCULINO,20
43,43,43,40927447,4462337,0,FEMENINO,36
44,44,44,270906941,222565563,1,MASCULINO,33
45,45,45,1763531,66170725,1,MASCULINO,39
46,46,46,162966723,204311253,1,MASCULINO,31
47,47,47,488237,12081875,2,MASCULINO,59
48,48,48,275128548,22260204,5,MASCULINO,32
49,49,49,111729837,224352355,1,FEMENINO,32
50,50,50,211903749,62422571,2,FEMENINO,72
51,51,51,190500975,275305409,1,FEMENINO,54
52,52,52,14429750,3181402,2,MASCULINO,45
53,53,53,266012355,263951597,0,FEMENINO,65
54,54,54,114468338,252552598,1,MASCULINO,73
55,55,55,267013387,66237901,1,MASCULINO,68
56,56,56,252540702,41713962,1,FEMENINO,52
57,57,57,33937230,43881890,5,MASCULINO,43
58,58,58,46035842,218090702,8,MASCULINO,71
59,59,59,47757266,42854070,0,MASCULINO,28
60,60,60,86279560,21991512,3,MASCULINO,28
61,61,61,84341296,9841672,1,MASCULINO,31
62,62,62,64168461,212587307,0,MASCULINO,44
63,63,63,569,42831855,1,MASCULINO,45
64,64,64,163219669,121635907,1,MASCULINO,37
65,65,65,237872269,164326139,6,FEMENINO,78
66,66,66,1192648,35263288,1,MASCULINO,39
67,67,67,264833423,271437161,1,MASCULINO,52
68,68,68,274081120,222869544,0,MASCULINO,25
69,69,69,2227791,36954049,1,MASCULINO,70
70,70,70,175114787,39775853,0,MASCULINO,45
71,71,71,2269943,34057209,5,FEMENINO,75
72,72,72,148665078,102599490,3,MASCULINO,59
73,73,73,260478716,210606396,0,MASCULINO,77
74,74,74,58491648,34700640,11,MASCULINO,42
75,75,75,244573419,76254365,4,MASCULINO,65
76,76,76,47878554,35002678,0,FEMENINO,49
77,77,77,172087716,30742564,1,MASCULINO,21
78,78,78,30563,40853997,1,MASCULINO,57
79,79,79,134295196,273589940,1,FEMENINO,32
80,80,80,5572155,160427349,2,MASCULINO,59
81,81,81,253171937,1694343,2,MASCULINO,77
82,82,82,38778041,207313591,2,MASCULINO,78
83,83,83,351088,88069544,2,MASCULINO,64
84,84,84,92271271,246417193,5,MASCULINO,30
85,85,85,887248,255364272,1,MASCULINO,70
86,86,86,12009222,21507090,1,MASCULINO,34
87,87,87,99433103,62274577,1,MASCULINO,79
88,88,88,270139813,2845483,1,MASCULINO,34
89,89,89,139058290,39377054,0,MASCULINO,32
90,90,90,42675035,28597093,2,MASCULINO,39
91,91,91,36292663,29750025,0,FEMENINO,39
92,92,92,7041244,693116,4,MASCULINO,35
93,93,93,141306344,232437888,1,MASCULINO,37
94,94,94,96909732,20299100,2,MASCULINO,76
95,95,95,252359778,187824878,5,MASCULINO,29
96,96,96,88342297,159921055,1,FEMENINO,50
97,97,97,3671952,11833264,1,FEMENINO,60
98,98,98,232341850,111974502,0,MASCULINO,78
99,99,99,114508966,115587026,1,MASCULINO,74
100,100,100,268757427,22811309,0,MASCULINO,31
101,101,101,80080413,78231379,1,MASCULINO,64
102,102,102,249963749,3399979,1,MASCULINO,32
103,103,103,1717641,2006647,1,MASCULINO,57
104,104,104,160272835,39957549,0,MASCULINO,43
105,105,105,335549,88606835,1,MASCULINO,77
106,106,106,41127446,259995330,1,FEMENINO,23
107,107,107,21458931,27584037,1,FEMENINO,51
108,108,108,29023046,87115274,2,MASCULINO,48
109,109,109,40076489,259278775,1,FEMENINO,36
110,110,110,250692353,158300951,2,MASCULINO,37
111,111,111,249709398,19104234,35,MASCULINO,72
112,112,112,168138582,11098842,2,FEMENINO,39
113,113,113,253123312,272934040,1,MASCULINO,71
